Id,String
0,
500,EmptyString
910001, にんじん
910002, トウモロコシ
910003, たまご
910004, さかな
910005, にんにく
910006, ねぎ
910007, ハーブ
910008, きのこ
910009, じゃがいも
910010, キャベツ
910011, 海藻
910012, トマト
910013, 大根
910014, くるみ
910015, いね
910016, りんご
910017, はちみつ
910018, レモン
910019, ミルク
910020, オレンジ
910021, ビール
910022, パン
910023, チーズ
910024, 目玉焼き
910025, ワイン
910026, リュック
910027, ポーション
910028, マント
910029, ロープ
910030, 釣り竿
910031, コンパス
910032, サイコロ
910033, 大ハンマー
910034, 鏡
910035, 盾
910036, 本_1
910037, 本_2
910038, 本_3
910039, 専門書_1
910040, 専門書_2
910041, ハマグリ
910042, クリスタル
910043, アミュレット
910044, 金の鍵
910045, 銀インゴット
910046, 金の指輪
910047, 古代の兜
910048, 古代の短剣
910049, 金インゴット
910050, ダイヤモンド
911001, ウサギが一番好きなおやつ、ビタミンAたっぷり！
911002, ポップコーンになる前の普通の状態
911003, うまく焼ければ目玉焼き、失敗すれば緊急用の投げ武器になるよ！
911004, 猫たちの夢のディナーメニュー
911005, 強烈な匂いで敵をやっつけられるかも ?
911006, 刻んで乗せれば、料理が魔法みたいに仕上がるよ!
911007, 香りだけで気分が上がる不思議な葉っぱ
911008, そのまま食べると危険かも、ちゃんと見分けてね
911009, ポテトフライは神の食べ物だよ
911010, ダイエットメニューの常連だね
911011, 海の香りがする緑の草
911012, 果物か野菜か？どっちでもなく、『美味しい素材』だよ
911013, 冒険の後に、さっぱりしたスープがピッタリ！
911014, 割ってみると、知恵と元気が溢れるよ！
911015, ごはんがテーブルを支える、欠かせない存在だよ
911016, 一日一個で医者いらずってね
911017, 自然の甘さが口いっぱいに広がるよ
911018, 酸っぱくてさわやか！ 疲れた時に一つどう？
911019, しっかりした骨の秘密と、クッキーは永遠の相棒だよ
911020, 太陽に似た黄金色のフルーツ
911021, 友達とのパーティーに欠かせないアイテム、でも飲みすぎは禁物だよ！
911022, お腹も心も満たす冒険者の相棒だよ
911023, 熟成するほど深まる風味の不思議
911024, 朝食の定番、焼き加減はお好みでね！
911025, 高級な雰囲気が完成한よ
911026, すべての冒険者必携、アイテムがたくさん入ってるよ
911027, 飲めば体力とマナがグングン回復するよ!
911028, 飛べないけど、かっこよさは抜群だよ
911029, 用途が無限大な、しっかりしたロープ
911030, 待つことの美学
911031, 方向を教えてくれる優しい友達
911032, サイコロは投げられたよ
911033, 一撃で決まる強力な武器だよ
911034, 鏡よ、鏡よ、誰が一番の商人かな？
911035, この盾はどんな槍でも防げるよ!
911036, 初心者向けの軽い読み物だよ
911037, 冒険者向けの実用的なコツ集だよ
911038, 読んでいるうちに寝ちゃいそうな分厚い本、枕にしてみる ?
911039, 魔法使いだけが読むという希少な本だよ
911040, 高度な技術が詰まった難解な本だよ
911041, 海の宝、輝く殻は美しいと噂されてるよ
911042, 神秘的なエネルギーが宿る輝く石だよ
911043, 幸運をもたらすと言われるネックレスだよ
911044, 用途不明だけど、金でできてるから価値はあるよ
911045, 銀色の輝きが月光のように美しいよ
911046, 気をつけて！呪いがあるかもよ
911047, 古代戦士が使っていた兜だよ
911048, 古代の祭司が使ったという儀式用具だよ
911049, 金は決して裏切らないって言うしね
911050, 光を宿す宝石、莫大な富の象徴だよ
950001,ちょうど良いタイミングで雨が降ったおかげで、<color=#FFFF00>{0}</color>の収穫量が増えて、価格が下がったよ。
950002,新しい農法が開発されたおかげで、<color=#FFFF00>{0}</color>の収穫量が増えて、価格が下がったよ。
950003,放浪者たちが<color=#FFFF00>{0}</color>を席巻したよ。価格が上がったよ！
950004,自然災害の影響で、<color=#FFFF00>{0}</color>の収穫が悪くなって、価格が上がったよ。
950005,農家の間で<color=#FFFF00>{0}</color>の栽培が人気で、価格が下がったよ。
950006,他国との貿易で、<color=#FFFF00>{0}</color>の供給が増えて、価格が下がったよ。
950007,自然災害の影響で、<color=#FFFF00>{0}</color>の収穫が悪くなって、価格が上がったよ。
